Sub_ID,Sex,Age_Ex,Age_Yrs,Script,WhoLied
1,1,4.45,4,1,1
2,0,4.533333333,4,1,0
3,1,4.283333333,4,2,1
4,0,4.994444444,4,1,1
5,1,4.769444444,4,2,0
6,1,4.213888889,4,2,0
7,0,4.430555556,4,1,0
8,1,4.85,4,1,1
9,0,4.244444444,4,2,0
10,0,4.005555556,4,1,1
11,0,4.416666667,4,2,0
12,0,4.569444444,4,1,1
13,0,5.447222222,5,2,1
14,0,5.355555556,5,1,0
15,0,5.102777778,5,1,1
16,1,5.613888889,5,2,1
17,0,5.616666667,5,1,0
18,0,5.883333333,5,2,0
19,1,6.744444444,6,1,1
20,1,6.708333333,6,2,0
21,0,6.794444444,6,1,0
22,0,6.861111111,6,1,1
23,0,5.763888889,6,2,1
24,0,6.075,6,1,1
25,1,6.286111111,6,2,0
26,0,6.630555556,6,2,1
27,0,6.236111111,6,2,1
28,1,6.994444444,6,2,0
29,0,6.925,6,2,1
30,1,6.45,6,1,1
31,0,6.819444444,6,2,1
32,0,7.283333333,7,1,1
33,0,7.588888889,7,1,1
34,1,7.391666667,7,2,0
35,1,7.677777778,7,1,1
36,1,8.272222222,8,2,1
37,0,8.3,8,2,1
38,1,8.852777778,8,2,1
39,0,8.1,8,2,1
40,0,8.388888889,8,1,1
41,0,9.030555556,9,1,1
42,0,9.533333333,9,1,1
43,1,9.95,9,1,1
44,0,4.161111111,4,1,0
45,0,4.402777778,4,2,1
46,0,4.952777778,4,1,0
47,0,4.2,4,2,0
48,1,4.777777778,4,2,0
49,0,5.383333333,5,1,1
50,0,5.986111111,5,2,1
51,0,5.572222222,5,2,0
52,1,5.366666667,5,1,0
53,0,5,5,1,0
54,1,5,5,2,1
55,0,5.816666667,5,2,0
56,0,4.952777778,5,1,1
57,0,5.208333333,5,1,0
58,1,6.172222222,6,1,1
59,1,6.619444444,6,2,0
60,0,6.669444444,6,1,1
61,0,6.688888889,6,2,1
62,0,6.033333333,6,1,1
63,1,6.488888889,6,2,0
64,1,6.058333333,6,1,0
65,1,7.161111111,7,2,1
66,0,7.2,7,2,1
67,0,7,7,1,1
68,1,7.638888889,7,1,1
69,1,7.066666667,7,2,1
70,0,7.130555556,7,1,0
71,0,7.491666667,7,1,1
72,1,8.536111111,8,2,1
73,0,9.3,9,2,1
74,0,9.830555556,9,2,1
75,1,8.944444444,8,1,1
76,0,6.863888889,6,2,1
77,0,8.211111111,8,1,1
78,1,8.422222222,8,2,1
79,0,9.788888889,9,1,1
80,1,9.919444444,9,2,1
81,0,8.897222222,8,1,1
82,1,8.761111111,8,2,1
83,1,8.052777778,8,1,1
84,1,8.963888889,8,1,1
85,1,8.925,8,2,1
86,0,8.775,8,1,1
87,0,8.363888889,8,2,1
88,1,8.213888889,8,1,1
89,0,8.836111111,8,2,0
90,1,8.597222222,8,1,0
91,0,8.016666667,8,1,1
92,0,8.333333333,8,1,1
93,1,9.402777778,9,2,1
94,0,8.45,8,1,1
95,0,8.85,8,2,1
96,0,8.455555556,8,2,1