Sub_ID,Sex,Condition,Age_Ex,Age_Yrs,SoughtHelp
1,1,1,4.108333333,4,1
2,1,1,4.194444444,4,1
3,0,1,4.511111111,4,0
4,0,1,4.930555556,4,0
5,0,1,4.091666667,4,0
6,1,1,4.686111111,4,1
7,0,1,4.536111111,4,0
8,0,1,4.319444444,4,1
9,1,1,4.627777778,4,1
10,0,1,5.497222222,5,1
11,1,1,5.775,5,1
12,1,1,5.908333333,5,0
13,1,1,5.413888889,5,1
14,0,1,5.886111111,5,0
15,0,1,5.647222222,5,1
16,0,1,5.544444444,5,1
17,0,1,6.444444444,6,1
18,0,1,6.444444444,6,0
19,0,1,6.213888889,6,0
20,1,1,6.277777778,6,0
21,0,1,6.875,6,1
22,0,1,6.372222222,6,0
23,0,1,6.125,6,1
24,1,1,6.772222222,6,1
25,0,1,6.333333333,6,0
26,0,1,7.111111111,7,0
27,1,1,7.425,7,0
28,0,1,7.719444444,7,0
29,0,1,7.608333333,7,0
30,0,1,7.613888889,7,0
31,0,1,7.511111111,7,0
32,0,1,7.827777778,7,0
33,0,1,7.95,7,0
34,0,1,7.447222222,7,0
35,1,1,7.7,7,0
36,0,1,8.547222222,8,0
37,0,1,8.955555556,8,0
38,0,1,8.919444444,8,1
39,0,1,8.683333333,8,0
40,1,1,8.780555556,8,0
41,1,1,8.091666667,8,0
42,1,1,8.458333333,8,1
43,1,1,8.802777778,8,0
44,1,1,8,8,1
45,0,1,9.516666667,9,0
46,1,1,9.5,9,1
47,0,1,9.347222222,9,0
48,1,1,9.172222222,9,0
49,0,1,9.477777778,9,0
50,1,1,9.380555556,9,1
51,1,1,9.108333333,9,1
52,1,1,9.672222222,9,1
53,0,1,9.355555556,9,1
54,0,1,9.211111111,9,0
55,0,1,9.630555556,9,1
56,0,1,4.216666667,4,0
57,0,1,4.566666667,4,1
58,1,1,4.336111111,4,1
59,1,1,4.661111111,4,1
60,0,1,4.813888889,4,1
61,1,1,4.686111111,4,1
62,0,1,4.430555556,4,0
63,0,1,4.336111111,4,0
64,1,1,5.741666667,5,0
65,1,1,5.291666667,5,0
66,0,1,4.75,5,1
67,0,1,5.363888889,5,1
68,0,1,5.95,5,1
69,0,1,5.158333333,5,1
70,1,1,5.558333333,5,1
71,1,1,5.925,5,1
72,0,1,6.908333333,6,1
73,1,1,6.416666667,6,0
74,1,1,6.561111111,6,1
75,0,1,6.177777778,6,0
76,0,1,6.027777778,6,1
77,0,1,6.125,6,1
78,1,1,6.902777778,6,0
79,0,1,7.544444444,7,1
80,1,1,7.455555556,7,0
81,0,1,7.080555556,7,0
82,0,1,7.052777778,7,0
83,0,1,7.566666667,7,0
84,1,1,7.358333333,7,0
85,1,1,8.838888889,8,0
86,0,1,8.088888889,8,0
87,0,1,8.938888889,8,0
88,0,1,8.069444444,8,1
89,0,1,8.769444444,8,0
90,1,1,8.225,8,1
91,0,1,8.177777778,8,0
92,1,1,8.433333333,8,0
93,0,1,9.772222222,9,0
94,1,1,9.255555556,9,1
95,1,1,9.972222222,9,1
96,0,1,9.594444444,9,0
97,1,2,4.944444444,4,1
98,0,2,4.208333333,4,0
99,1,2,4.155555556,4,0
100,1,2,4.1,4,1
101,1,2,4.466666667,4,0
102,1,2,4.038888889,4,0
103,1,2,4.102777778,4,0
104,0,2,4.602777778,4,0
105,0,2,4.247222222,4,0
106,0,2,4.938888889,4,1
107,0,2,4.677777778,4,1
108,0,2,4.797222222,4,1
109,1,2,5.930555556,5,0
110,0,2,5.208333333,5,0
111,1,2,5.083333333,5,0
112,0,2,5.283333333,5,1
113,0,2,5.452777778,5,0
114,1,2,5.125,5,0
115,0,2,6.447222222,6,1
116,0,2,6.338888889,6,1
117,1,2,6.938888889,6,1
118,0,2,6.327777778,6,0
119,0,2,6.077777778,6,0
120,1,2,6.652777778,6,1
121,0,2,6.852777778,6,1
122,1,2,6.775,6,1
123,1,2,6.016666667,6,0
124,0,2,6.213888889,6,1
125,0,2,6.369444444,6,0
126,0,2,7.272222222,7,0
127,0,2,7.413888889,7,1
128,1,2,7.333333333,7,0
129,1,2,7.991666667,7,0
130,1,2,7.172222222,7,0
131,0,2,8.369444444,8,1
132,1,2,8.966666667,8,1
133,0,2,8.955555556,8,1
134,1,2,8.216666667,8,1
135,0,2,8.027777778,8,1
136,1,2,8.363888889,8,1
137,1,2,8.230555556,8,0
138,1,2,9.391666667,9,0
139,1,2,9.255555556,9,1
140,0,2,9.05,9,1
141,0,2,9.525,9,0
142,0,2,9.458333333,9,1
143,1,2,9.347222222,9,0
144,0,2,9.111111111,9,1
145,0,2,9.780555556,9,1
146,1,2,9.847222222,9,1
147,1,2,9.655555556,9,1
148,1,2,9.341666667,9,1
149,1,2,4.802777778,4,0
150,0,2,4.294444444,4,1
151,0,2,4.425,4,0
152,1,2,4.655555556,4,0
153,1,2,4.133333333,4,0
154,1,2,4.233333333,4,0
155,0,2,4.922222222,4,0
156,1,2,4.430555556,4,0
157,0,2,5.825,5,1
158,0,2,5.069444444,5,0
159,1,2,5.372222222,5,1
160,1,2,5.627777778,5,0
161,1,2,5.211111111,5,1
162,0,2,5.341666667,5,1
163,1,2,6.441666667,6,0
164,1,2,6.172222222,6,0
165,1,2,6.830555556,6,0
166,1,2,6.516666667,6,0
167,0,2,6.447222222,6,1
168,0,2,6.302777778,6,1
169,0,2,6.180555556,6,1
170,1,2,6.6,6,0
171,0,2,6.213888889,6,0
172,1,2,6.225,6,1
173,1,2,6.127777778,6,0
174,1,2,7.161111111,7,1
175,0,2,7.183333333,7,1
176,1,2,7.775,7,1
177,0,2,7.847222222,7,0
178,0,2,7.588888889,7,0
179,0,2,8.069444444,8,1
180,1,2,8.047222222,8,0
181,0,2,8.055555556,8,0
182,0,2,8.394444444,8,1
183,1,2,8.475,8,0
184,1,2,8.7,8,1
185,0,2,8,8,1
186,1,2,9.155555556,9,0
187,0,2,9.988888889,9,1
188,0,2,9.233333333,9,1
189,1,2,9.658333333,9,1
190,0,2,9.686111111,9,0
191,1,2,9.252777778,9,1
192,1,2,9.566666667,9,1